title,link,summary
Knight Crawlers is a clever action-RPG with endearingly goofy baddies,https://www.eurogamer.net/knight-crawlers-is-a-clever-action-rpg-with-endearingly-goofy-baddies," 
Knight Crawlers is an action-RPG kind of thing that came out earlier this year. Having bounced off Diablo 4 a bit, I've still had an itch to disappear into the depths and smack skeletons around. Knight Crawlers has done me proud so far. I'm not too far in, but I'm having a great time.

It's a roguelite at heart. Each journey into the procedural depths sees you ..."
Skyrim modded with path-traced lighting - and all DX9+ games could follow,https://www.eurogamer.net/digitalfoundry-2023-reshade-rtx-remix-path-tracing-add-on-ptgi," Enterprising developer Pascal Gilcher, best known for creating a ReShade add-on for ray-traced global illumination (RTGI), has unveiled his work on a path-traced version of Skyrim Special Edition. Even more excitingly, this new ReShade add-on operates on similar principles to Nvidia's RTX Remix, with the potential to add world-space (rather than screen-space) pa..."
What to Play This August,https://www.eurogamer.net/what-to-play-this-august," Hello, happy August, and welcome back to our new recurring series, What to Play This Month, a roundup of the best games from the last one and the things we're most excited to play from the month ahead - plus our other suggestions for what might complement it. As a reminder, the goal for us with this series is simple enough: there are more games releasing than ev..."
Make Way offers fishtailing horror across a race track that you build as you go,https://www.eurogamer.net/make-way-offers-fishtailing-horror-across-a-race-track-that-you-build-as-you-go," 
Make Way reminds me of the time a friend fell down a flight of stairs while trying to show me a card trick. He was fine, I should say: fine at the start of it and mostly fine at the end of it. Merely flustered, mildly askew, as if he had encountered a bug he could not replicate. 

He had just fanned the cards - I don't know why we were standing at the top of a ..."
The story of SWIV,https://www.eurogamer.net/the-story-of-swiv," 
One of the more curious licensing phenomenons of the 80s was the home-exclusive sequel to an arcade game. Manchester's Ocean Software specialised in the trick, creating follow-ups such as Target: Renegade and Yie-Ar Kung Fu 2. However, as the 90s dawned, a general tightening of licensing laws meant fewer home-exclusive sequels appeared. Instead, inspired by an ..."
Can you make an anti-imperial empire game?,https://www.eurogamer.net/can-you-make-an-anti-imperial-empire-game," 
4X games may sound incredibly reductive on the surface. After all, this is the only genre of game whose name is also a decree about how you should play - eXplore, eXpand, eXploit, eXterminate. But as any fan will tell you, 4X games are actually bustling sandboxes that can be tackled in all kinds of ways. For some players, that could mean eschewing military acti..."
Ratchet and Clank: Rift Apart PC tech analysis - this port needed more time,https://www.eurogamer.net/digitalfoundry-2023-ratchet-and-clank-rift-apart-pc-tech-analysis," Ratchet and Clank: Rift Apart is out now on PC, two years after it launched as a PS5 exclusive. It's always fascinating to see how Sony's flagship titles fare on PC, especially those produced by porting specialist Nixxes. Rift Apart is also a cutting-edge effort - it's one of the first to support DirectStorage GPU decompression, which ought to shrink load times ..."
Let's get evil in Dragon Age: Inquisition,https://www.eurogamer.net/lets-get-evil-in-dragon-age-inquisition," As Emma's Adventures takes a short break, Bertie embarks on an experimental new adventure of his own. This adventure is exclusive to supporters of Eurogamer. Remember, you can still try a month for free but the redemption period ends very soon, on Tuesday, 1st August.Do you know what bothers me? Being good. Games expect it of us. They assume we want to save the ..."
What we've been playing,https://www.eurogamer.net/what-weve-been-playing-119," Hello! Welcome back to our regular feature where we write a little bit about some of the games we've found ourselves playing over the last few days. This time: spooky oil rigs, Tokyo highways, and inquisitions.If you fancy catching up on some of the older editions of What We've Been Playing, here's our archive.If there's ever such a thing as an Unwholesome Showc..."
Game of the Week: the unsung heroism of Player 2,https://www.eurogamer.net/game-of-the-week-the-unsung-heroism-of-player-2," 
Tragedy strikes twice this month, as Christian Donlan is once again away from his desk and has left Eurogamer's Game of the Week column in my undeserving mitts (he's just on holiday, don't worry - I haven't locked him in a cupboard somewhere). I'm devoting this one to the act of being Player 2 in a two-player game, and why being Player 2 is kind of a game in it..."
"Tren, a game within a game, is a window into the spirit of Media Molecule",https://www.eurogamer.net/tren-a-game-within-a-game-is-a-window-into-the-spirit-of-media-molecule," 
There's a lot of parenting in Tren. This is surprising in some ways, because Tren is ostensibly a virtual train set that comes with a suite of ingenious puzzles and race challenges attached to it. But pull back a little and it starts to make more sense. With Tren, John Beech, the game's design lead, and Media Molecule's newly minted creative director, asked him..."
Five of the Best: Gardens,https://www.eurogamer.net/five-of-the-best-gardens-1," Five of the Best is a weekly series for supporters of Eurogamer. It's a series about highlighting some of the features in games that are often overlooked. It's also a series about you having your say, so don't be shy, use the comments below and join in!Oh and you can find our entire Five of the Best archive elsewhere on the site.Gardens! Home of cat poo and snai..."
Why do I let video games send me back to school?,https://www.eurogamer.net/why-do-i-let-video-games-send-me-back-to-school," 
If you're anything like me, the idea of going back to school fills you with dread. I still have nightmares about exams for which I'm unprepared and I still lay awake at night remembering embarrassing things I did when I was fifteen. Yet, show me a game that offers to send me right back there and I'll show you a game into which I'll sink a hundred hours.

What i..."
A quick chat about Dave the Diver,https://www.eurogamer.net/a-quick-chat-about-dave-the-diver," 
Dave the Diver is an ingenious game about underwater exploration and working in a sushi restaurant. We plan on having a review out in the next few weeks, but before then, Matt and I had a quick chat about what makes this game so charming and special.

Chris: Matt! It's lovely to chat to you. We've both been playing this game called Dave the Diver over the last ..."
Dragon's Dogma wants to surprise you - even if that means winding you up first,https://www.eurogamer.net/dragons-dogma-wants-to-surprise-you-even-if-that-means-winding-you-up-first," 
When taken at face value, the review scores and Metacritic reception for Dragon's Dogma look extremely positive. Considering the never-ending discourse surrounding reviewer vs player scores, Dragon's Dogma seems like a strange anomaly. It's a game that everyone agrees is a solid 8 out of 10.

This might fool you into thinking that Dragon's Dogma is a game that ..."
"Inside Eurogamer: A new deputy editor, and why we're so obsessed with puns",https://www.eurogamer.net/inside-eurogamer-a-new-deputy-editor-and-why-were-so-obsessed-with-puns," Inside Eurogamer is a podcast series exclusively for supporters of Eurogamer. You can support us for £3/€3/$3 a month to get ad-free viewing, exclusive content and more, all while helping us continue to do the work we do. There's currently a free trial running, too, so you can try being a supporter out.It's episode three of Inside Eurogamer, the podcast where yo..."
Gunbrella continues to be a great Mary-Poppins-with-a-shotgun simulator,https://www.eurogamer.net/gunbrella-continues-to-be-a-great-mary-poppins-with-a-shotgun-simulator," 
Gunbrella is one of those action games enlivened by a little bit of recurrent magic that never really fades. The magic lies with the Gunbrella itself. This is a 2D platformer and blaster, with a focus on exploration and a bit of light RPG stuff in the quests. But at the heart of it all is the Gunbrella your character wields, both gun and - yes - umbrella, and a..."
Portal: Prelude RTX brings a classic Source mod to the forefront of graphics technology,https://www.eurogamer.net/digitalfoundry-2023-portal-prelude-rtx-brings-a-classic-source-mod-to-the-forefront-of-graphics-technology," Portal: Prelude RTX is an impressive showcase of Nvidia's RTX Remix technology, which takes what was once a Source mod for Portal and gives it visual features and technology that rival and even surpass high-end triple AAA releases. It is truly spectacular - and hopefully one of many path-traced remasters to come in the future as the RTX Remix modding tools appro..."
Game of the Week: Pikmin 4 is ready for its close-up,https://www.eurogamer.net/game-of-the-week-pikmin-4-is-ready-for-its-close-up," 
Hello! Our game of the week is Pikmin 4 - how could we pick anything else? Tom gave this genial strategy-puzzler our first 5-star review. I can't wait to play it.

Watching a trailer for Pikmin 4 this morning reminded me of the special thrill that this series offers. Sure, back when the first game came out on the GameCube it was exciting to see Nintendo launchi..."
What we've been playing,https://www.eurogamer.net/what-weve-been-playing-118," Hello! Welcome back to our regular feature where we write a little bit about some of the games we've found ourselves playing over the last few days. This time: arcade royalty, sunny rainy days, and a beautiful new starship.If you fancy catching up on some of the older editions of What We've Been Playing, 
here's our archive.Developer Housemarque’s Nex Machina ha..."
Sea of Thieves' Monkey Island collaboration captures the magic of an undisputed classic,https://www.eurogamer.net/sea-of-thieves-monkey-island-collaboration-captures-the-magic-of-an-undisputed-classic," 
One of my favourite moments in Sea of Thieves' new Monkey Island collaboration comes right near the start of the first episode; as you sail through the familiar pea green soup of the Sea of the Damned, approaching a distant, dimly lit island, a transformation occurs. Suddenly, the familiar Monkey Island theme begins to stir in a rumbling of steel drums, the fog..."
UK actors and Equity are battling the rise of AI-driven deepfake mods,https://www.eurogamer.net/uk-actors-and-equity-are-battling-the-rise-of-ai-driven-deepfake-mods," 
""Is my voice out there in the modding and voice-changing community? Yes. Do I have any control over what my voice can be used for? Not at the moment.""

David Menkin most recently starred in Final Fantasy 16 as Barnabas Tharmr, following work in Lego Star Wars, Valorant, Assassin's Creed and more. And like many other voice actors in the games industry, he's conc..."
Five of the Best: Character classes,https://www.eurogamer.net/five-of-the-best-character-classes," Five of the Best is a weekly series for supporters of Eurogamer. It's a series about highlighting some of the features in games that are often overlooked. It's also a series about you having your say, so don't be shy, use the comments below and join in!Oh and you can find our entire Five of the Best archive elsewhere on the site.I'm finally going there - I'm ask..."
"Tears of the Kingdom shows that without change, accessibility in Nintendo games will remain accidental",https://www.eurogamer.net/tears-of-the-kingdom-shows-that-without-change-accessibility-in-nintendo-games-will-remain-accidental," 
The Legend of Zelda: Tears of the Kingdom is an evolution. From the world of 2017's Breath of the Wild, Nintendo has created something richer and more malleable through a grander story, an expanded map, and the ability to build countless contraptions to torture innocent Koroks. Fifty hours in, I'm yet to even start any story-related adventure, and I'm more inte..."
"Twitch is in a crucial ""trust building period"": it must listen to streamers",https://www.eurogamer.net/twitch-is-in-a-crucial-trust-building-period-it-must-listen-to-streamers," 
It's been a difficult year for Twitch so far. The Amazon-owned streaming platform is continuously evolving and offering new products and tools for streamers, but it never seems to quite get things right.

Take revenue split for instance. At present, Twitch offers streamers a 50/50 revenue split in comparison to 70/30 on rival platforms. Yet the introduction of ..."
"Viewfinder's built around a single moment, and it's great",https://www.eurogamer.net/viewfinders-built-around-a-single-moment-and-its-great," 

Viewfinder is a puzzle game built around a single moment that I will simply never tire of. Here's how it works. You see a bridge. You lift your camera and take a picture of the bridge. You take the picture you now have in your hand - the bridge - and then hold it up elsewhere in the world, maybe where there's a gap in the ground between you and the spot you wa..."
The Tomb Raider reboot trilogy sent Crystal Dynamics on a quest to rediscover Lara Croft,https://www.eurogamer.net/the-tomb-raider-reboot-trilogy-sent-crystal-dynamics-on-a-quest-to-rediscover-lara-croft," 
The Tomb Raider 2013 reboot trilogy by Crystal Dynamics was a statement of intent - a shot aimed directly at Nathan Drake and the Uncharted series. Whilst Lara Croft was hibernating, Naughty Dog may have had free reign to set a new standard for creating cinematic action-adventure narratives, but maybe true legends like Lara will always endure?

Crystal Dynamics..."
The unexpected dread of Cocoon: how the bug became a feature,https://www.eurogamer.net/the-unexpected-dread-of-cocoon-how-the-bug-became-a-feature," 
It took Geometric Interactive a while to find the insect in Cocoon, though it's perhaps more accurate to say that the insect found Cocoon, pupating of its own accord from the texture of this delightful but oh so eerie top-down puzzle-platformer. ""When I joined the studio, the demo was just like, 2D pixels with blocks,"" says Erwin Kho, art director. ""The little ..."
Forspoken revisited on PS5: does the final update fix the game's technical issues?,https://www.eurogamer.net/digitalfoundry-2023-forspoken-revisited-on-ps5-does-the-final-update-fix-the-games-technical-issues," Forspoken was one of the most promising early PS5 showings, revealed with death-defying parkour, wide-open landscapes and beautiful visuals throughout. At launch, the game was far less impressive though - a repetitive, empty game with surprisingly dated graphics despite its high budget. A dedicated patching campaign seems to have improved the title's plight, wit..."
Game of the Week: Wandering through the night in Oxenfree 2,https://www.eurogamer.net/game-of-the-week-wandering-through-the-night-in-oxenfree-2," 
Noctivagant is a word worth knowing. According to Penguin's beloved Dictionary of Curious and Interesting Words, it means ""night-wandering"", and there are quotes from T.C. Boyle and John Gardner to illustrate it. (We're also asked to compare with ""divagate,"" which I'm delighted to discover means ""to wander about, to take a side trip."" Apologies for this divagat..."
What we've been playing,https://www.eurogamer.net/what-weve-been-playing-117," Hello! Welcome back to our regular feature where we write a little bit about some of the games we've found ourselves playing over the last few days. This time: sports, more sports, and sports.If you fancy catching up on some of the older editions of What We've Been Playing, 
here's our archive.
My daughter calls this game Wii Sports, and I can never remember the..."
The Last Hope on Switch: an absolute disaster and the worst game we've ever tested,https://www.eurogamer.net/digitalfoundry-2023-the-last-hope-on-switch-the-worst-game-ever-reviewed," 
From APB Reloaded to Life of Black Tiger and beyond, we've covered some real stinkers on Digital Foundry - hell, the Ghost of Phoenix Past even left us a hot, steaming gift of twelve horribly bad Phoenix games a few years back. I knew bad games - or so I thought. You see, while the unearthing of ET cartridges buried deep in a landfill in 2014 may have made head..."
Dota 2 - a juggernaut rumbles on despite Valve's signature detachment,https://www.eurogamer.net/dota-2-a-juggernaut-rumbles-on-despite-valves-signature-detachment," 
Three weeks ago I told myself I wasn't going to play Dota 2 again until a new patch comes out. After the exciting launch of what might be the biggest patch of all time, games had started to become stale. At the admittedly average level I play at, a lot of games are all but over by the 20-minute mark, if you lose the lanes, it's incredibly hard to win. This mean..."
Five of the Best: Boats,https://www.eurogamer.net/five-of-the-best-boats," Five of the Best is a weekly series for supporters of Eurogamer. It's a series about highlighting some of the features in games that are often overlooked. It's also a series about you having your say, so don't be shy, use the comments below and join in!Oh and you can find our entire Five of the Best archive elsewhere on the site.No, before you ask, Five of the B..."
Unreal Engine 5.2 features analysed: is this the answer to #StutterStruggle?,https://www.eurogamer.net/digitalfoundry-2023-unreal-engine-52-features-analysed-is-this-the-answer-to-stutterstruggle," Nearly three years after Unreal Engine 5 was first revealed, we're on the cusp of the first major UE5 game releases, including Immortals of Aveum, The Lords of the Fallen and Stalker 2: Heart of Chernobyl. With the release of Unreal Engine 5.2, the time seems right to take another look at what new features have been added in the latest revision and how these add..."
Don't miss the hidden stories in Final Fantasy 16's endgame,https://www.eurogamer.net/dont-miss-the-hidden-stories-in-final-fantasy-16s-endgame," 
This article contains spoilers for Final Fantasy 16.

We zoom in on Midgar as the train arrives at its destination. The spiky-haired Cloud leaps off the train, the synths chug with tension, and we're ready to blow up a reactor. It's time for another Final Fantasy adventure.

Final Fantasy games are known for their openings, with FF7 in particular being an iconi..."
Everything you might have missed from Eurogamer's Pride Week 2023,https://www.eurogamer.net/everything-you-might-have-missed-from-eurogamers-pride-week-2023," 
Hello! All this week, Eurogamer has been marking Pride with another series of features celebrating the intersection of queer culture and gaming. As ever, it's been both a privilege and pleasure to have so many wonderful writers share their enthusiasm, stories, and visions of a hopeful future throughout the week - and you'll find a complete round-up of this year..."
My queer favourite game,https://www.eurogamer.net/my-queer-favourite-game," 
Hello! Eurogamer's latest week of features celebrating the intersection of LGBTQ+ culture and gaming is nearing its end, but we're not quite done yet! Wrapping things up in style, we've spoken with some of our favourite creators, passed notes among the team, and even delved into the Eurogamer archive to spotlight just a few of our favourite queer and queer-posi..."
Game of the Week: Ghost Trick and how we haunt our games,https://www.eurogamer.net/game-of-the-week-ghost-trick-and-how-we-haunt-our-games," 
Hello everybody! Christian Donlan is away for this week's Game of the Week, so I'm afraid you all get a sorry consolation prize in the shape of me waffling about poltergeists. Why poltergeists? Because of Ghost Trick: Phantom Detective, of course. The current gen remaster has just launched and our Henry Stockdale was tickled pink, hailing it as a ""brilliant mys..."
"A night with Pokémon Sleep, the app that gamifies your slumber and listens to you snore",https://www.eurogamer.net/a-night-with-pokemon-sleep-the-app-that-gamifies-your-slumber-and-listens-to-you-snore," 
What's your morning phone routine? After your alarm sounds but before you get out of bed, do you scroll through your mobile? Half asleep, I clear notifications, read BBC News, do the Wordle. This week, that changed - I checked in with Snorlax first instead.

Pokémon Sleep is the franchise's big play to dominate the one part of my life previously free from Pokém..."
Danganronpa and the surprising joys of clumsy queer representation,https://www.eurogamer.net/danganronpa-and-the-surprising-joys-of-clumsy-queer-representation," Hello! Eurogamer is once again marking Pride Month with another week of features celebrating the intersection of queer culture and gaming. Today, Eli Cugini celebrates the clumsier side of LGBTQ+ representation and the strange, raw beauty that sometimes lies within.

My favourite rhythm game, which I won't name because I pay it £10 every month and I want you to ..."
What we've been playing,https://www.eurogamer.net/what-weve-been-playing-116," Hello! Welcome back to our regular feature where we write a little bit about some of the games we've found ourselves playing over the last few days. This time: second impressions, profound truths, and literal-mindedness.If you fancy catching up on some of the older editions of What We've Been Playing, 
here's our archive.
I reinstalled Baldur's Gate 3 at the wee..."
Can Final Fantasy 16's real-time graphics compare to FF13's CGI cinematics?,https://www.eurogamer.net/digitalfoundry-2023-can-final-fantasy-16s-real-time-graphics-compare-to-ff13s-cgi-cinematics," Final Fantasy games are well-known for their elaborate CGI movies - pre-rendered sequences which have traditionally highlighted key in-game moments where real-time rendering might prove insufficient. Final Fantasy 16 uses the technique rarely though, with a mix of real-time and pre-rendered in-engine footage largely used instead. With that in mind, I thought it ..."
Artsy Porn & Sexy Larps,https://www.eurogamer.net/artsy-porn-sexy-larps," 
Hello! All this week, Eurogamer is marking Pride with a week of features celebrating the intersection of LGBTQ+ culture and gaming. Today, Sharang Biswas takes us on a tour of bodily pleasures, exploring the perhaps surprising connection between pornography and analogue gaming - and highlighting the creators designing in the spaces between intimacy and play.

A..."
Final Fantasy 16's moving LGBTQ+ representation proves the series is modernising,https://www.eurogamer.net/final-fantasy-16s-moving-lgbtq-representation-proves-the-series-is-modernising," 
This article contains spoilers for Final Fantasy 16.

""Is he...? Are they?! Yes!!""

I drop the controller, lift my arms into the air and let out a whoop. A gay kiss! In Final Fantasy!
 Read more"
Five of the Best: Loading bars,https://www.eurogamer.net/five-of-the-best-loading-bars," Five of the Best is a weekly series for supporters of Eurogamer, and there's currently a free trial running! It's a series that higlights some of the overlooked features in games. It's also a series where you have your say, so don't be shy, use the comments below to join in!Oh and you can find our entire Five of the Best archive elsewhere on the site.Loading bar..."
Is Mac on the verge of a gaming revolution?,https://www.eurogamer.net/digitalfoundry-2023-is-mac-on-the-verge-of-a-gaming-revolution-cyberpunk-hogwarts-and-dead-space-tested-w-game-porting-toolkit," Mac gaming has always been a bit of a punchline, despite Apple's best efforts. The fundamental problem is that it takes substantial development resources to bring games over to the platform, which occupies a small fraction of the computing market. Every year a few high-profile games are trickled out, while most other titles skip macOS entirely - but that might b..."
